param_value,win_rate,total_return,mdd,sharpe,trades,profit_factor,success,error
16,0,0,100,0,0,0,False,'list' object has no attribute 'get'
18,0,0,100,0,0,0,False,'list' object has no attribute 'get'
20,0,0,100,0,0,0,False,'list' object has no attribute 'get'
24,0,0,100,0,0,0,False,'list' object has no attribute 'get'
22,0,0,100,0,0,0,False,'list' object has no attribute 'get'
26,0,0,100,0,0,0,False,'list' object has no attribute 'get'
28,0,0,100,0,0,0,False,'list' object has no attribute 'get'
30,0,0,100,0,0,0,False,'list' object has no attribute 'get'
32,0,0,100,0,0,0,False,'list' object has no attribute 'get'
34,0,0,100,0,0,0,False,'list' object has no attribute 'get'
