trail_start_r,entry_validity_hours,trail_dist_r,leverage,win_rate,mdd,profit_factor,total_trades,trades_per_day,suitability_score
1.0,6.0,0.02,2,0,100,0,0,0,0
1.0,6.0,0.02,3,0,100,0,0,0,0
1.0,6.0,0.03,2,0,100,0,0,0,0
1.0,6.0,0.03,3,0,100,0,0,0,0
1.0,6.0,0.05,2,0,100,0,0,0,0
1.0,6.0,0.05,3,0,100,0,0,0,0
1.0,24.0,0.02,2,0,100,0,0,0,0
1.0,24.0,0.02,3,0,100,0,0,0,0
1.0,24.0,0.03,2,0,100,0,0,0,0
1.0,24.0,0.03,3,0,100,0,0,0,0
1.0,24.0,0.05,2,0,100,0,0,0,0
1.0,24.0,0.05,3,0,100,0,0,0,0
1.0,48.0,0.02,2,0,100,0,0,0,0
1.0,48.0,0.02,3,0,100,0,0,0,0
1.0,48.0,0.03,2,0,100,0,0,0,0
1.0,48.0,0.03,3,0,100,0,0,0,0
1.0,48.0,0.05,2,0,100,0,0,0,0
1.0,48.0,0.05,3,0,100,0,0,0,0
1.0,72.0,0.02,2,0,100,0,0,0,0
1.0,72.0,0.02,3,0,100,0,0,0,0
1.0,72.0,0.03,2,0,100,0,0,0,0
1.0,72.0,0.03,3,0,100,0,0,0,0
1.0,72.0,0.05,2,0,100,0,0,0,0
1.0,72.0,0.05,3,0,100,0,0,0,0
1.2,6.0,0.02,2,0,100,0,0,0,0
1.2,6.0,0.02,3,0,100,0,0,0,0
1.2,6.0,0.03,2,0,100,0,0,0,0
1.2,6.0,0.03,3,0,100,0,0,0,0
1.2,6.0,0.05,2,0,100,0,0,0,0
1.2,6.0,0.05,3,0,100,0,0,0,0
1.2,24.0,0.02,2,0,100,0,0,0,0
1.2,24.0,0.02,3,0,100,0,0,0,0
1.2,24.0,0.03,2,0,100,0,0,0,0
1.2,24.0,0.03,3,0,100,0,0,0,0
1.2,24.0,0.05,2,0,100,0,0,0,0
1.2,24.0,0.05,3,0,100,0,0,0,0
1.2,48.0,0.02,2,0,100,0,0,0,0
1.2,48.0,0.02,3,0,100,0,0,0,0
1.2,48.0,0.03,2,0,100,0,0,0,0
1.2,48.0,0.03,3,0,100,0,0,0,0
1.2,48.0,0.05,2,0,100,0,0,0,0
1.2,48.0,0.05,3,0,100,0,0,0,0
1.2,72.0,0.02,2,0,100,0,0,0,0
1.2,72.0,0.02,3,0,100,0,0,0,0
1.2,72.0,0.03,2,0,100,0,0,0,0
1.2,72.0,0.03,3,0,100,0,0,0,0
1.2,72.0,0.05,2,0,100,0,0,0,0
1.2,72.0,0.05,3,0,100,0,0,0,0
1.5,6.0,0.02,2,0,100,0,0,0,0
1.5,6.0,0.02,3,0,100,0,0,0,0
1.5,6.0,0.03,2,0,100,0,0,0,0
1.5,6.0,0.03,3,0,100,0,0,0,0
1.5,6.0,0.05,2,0,100,0,0,0,0
1.5,6.0,0.05,3,0,100,0,0,0,0
1.5,24.0,0.02,2,0,100,0,0,0,0
1.5,24.0,0.02,3,0,100,0,0,0,0
1.5,24.0,0.03,2,0,100,0,0,0,0
1.5,24.0,0.03,3,0,100,0,0,0,0
1.5,24.0,0.05,2,0,100,0,0,0,0
1.5,24.0,0.05,3,0,100,0,0,0,0
1.5,48.0,0.02,2,0,100,0,0,0,0
1.5,48.0,0.02,3,0,100,0,0,0,0
1.5,48.0,0.03,2,0,100,0,0,0,0
1.5,48.0,0.03,3,0,100,0,0,0,0
1.5,48.0,0.05,2,0,100,0,0,0,0
1.5,48.0,0.05,3,0,100,0,0,0,0
1.5,72.0,0.02,2,0,100,0,0,0,0
1.5,72.0,0.02,3,0,100,0,0,0,0
1.5,72.0,0.03,2,0,100,0,0,0,0
1.5,72.0,0.03,3,0,100,0,0,0,0
1.5,72.0,0.05,2,0,100,0,0,0,0
1.5,72.0,0.05,3,0,100,0,0,0,0
