trail_start_r,entry_validity_hours,trail_dist_r,win_rate,mdd,profit_factor,total_trades,trades_per_day,suitability_score,leverage
1.0,6.0,0.02,79.46,34.47,4.64,3700,1.7436380772855797,65.6118096135721,10
1.0,6.0,0.03,79.35,34.59,4.58,3700,1.7436380772855797,65.4108096135721,10
1.0,6.0,0.05,79.05,34.82,4.47,3700,1.7436380772855797,65.00880961357211,10
1.0,24.0,0.02,79.61,35.63,4.65,4179,1.969368520263902,64.08415739868049,10
1.0,24.0,0.03,79.49,35.8,4.59,4179,1.969368520263902,63.86015739868049,10
1.0,24.0,0.05,79.21,36.12,4.48,4179,1.969368520263902,63.42815739868049,10
1.0,48.0,0.02,79.6,35.63,4.64,4182,1.9707822808671065,64.05408859566447,10
1.0,48.0,0.03,79.48,35.8,4.59,4182,1.9707822808671065,63.85008859566447,10
1.0,48.0,0.05,79.2,36.12,4.47,4182,1.9707822808671065,63.39808859566447,10
1.0,72.0,0.02,79.6,35.63,4.64,4182,1.9707822808671065,64.05408859566447,10
1.0,72.0,0.03,79.48,35.8,4.59,4182,1.9707822808671065,63.85008859566447,10
1.0,72.0,0.05,79.2,36.12,4.47,4182,1.9707822808671065,63.39808859566447,10
1.2,6.0,0.02,79.33,46.27,4.73,3705,1.7459943449575872,61.02102827521206,10
1.2,6.0,0.03,79.24,46.27,4.68,3705,1.7459943449575872,60.89402827521206,10
1.2,6.0,0.05,79.08,46.27,4.58,3705,1.7459943449575872,60.64602827521207,10
1.2,24.0,0.02,79.36,46.27,4.76,4191,1.97502356267672,59.9448821866164,10
1.2,24.0,0.03,79.27,46.27,4.71,4191,1.97502356267672,59.8178821866164,10
1.2,24.0,0.05,79.12,46.27,4.61,4191,1.97502356267672,59.5728821866164,10
1.2,48.0,0.02,79.35,46.27,4.76,4194,1.9764373232799246,59.93481338360037,10
1.2,48.0,0.03,79.26,46.27,4.7,4194,1.9764373232799246,59.78781338360038,10
1.2,48.0,0.05,79.11,46.27,4.6,4194,1.9764373232799246,59.54281338360038,10
1.2,72.0,0.02,79.35,46.27,4.76,4194,1.9764373232799246,59.93481338360037,10
1.2,72.0,0.03,79.26,46.27,4.7,4194,1.9764373232799246,59.78781338360038,10
1.2,72.0,0.05,79.11,46.27,4.6,4194,1.9764373232799246,59.54281338360038,10
1.5,6.0,0.02,78.24,56.93,4.87,3717,1.7516493873704053,56.68175306314798,10
1.5,6.0,0.03,78.24,56.93,4.82,3717,1.7516493873704053,56.58175306314798,10
1.5,6.0,0.05,78.1,56.93,4.73,3717,1.7516493873704053,56.35975306314798,10
1.5,24.0,0.02,78.16,52.53,4.85,4213,1.9853911404335534,57.20904429783223,10
1.5,24.0,0.03,78.16,52.53,4.8,4213,1.9853911404335534,57.10904429783223,10
1.5,24.0,0.05,78.04,52.53,4.71,4213,1.9853911404335534,56.89304429783224,10
1.5,48.0,0.02,78.13,52.53,4.84,4216,1.9868049010367579,57.1729754948162,10
1.5,48.0,0.03,78.13,52.53,4.79,4216,1.9868049010367579,57.072975494816205,10
1.5,48.0,0.05,78.01,52.53,4.7,4216,1.9868049010367579,56.85697549481621,10
1.5,72.0,0.02,78.13,52.53,4.84,4216,1.9868049010367579,57.1729754948162,10
1.5,72.0,0.03,78.13,52.53,4.79,4216,1.9868049010367579,57.072975494816205,10
1.5,72.0,0.05,78.01,52.53,4.7,4216,1.9868049010367579,56.85697549481621,10
