"Path","Size","Lines"
"C:\매매전략\bot_status.py","4323","129"
"C:\매매전략\check_parquet.py","364","13"
"C:\매매전략\check_realtime_logic.py","2210","43"
"C:\매매전략\cleanup_project.py","2740","78"
"C:\매매전략\collect_btc_data.py","1391","48"
"C:\매매전략\error_guide.py","6231","195"
"C:\매매전략\fixed_param_check.py","2213","63"
"C:\매매전략\fixed_param_check_debug.py","2528","72"
"C:\매매전략\full_logic_check.py","8653","198"
"C:\매매전략\full_param_check.py","4430","108"
"C:\매매전략\functional_test.py","14921","333"
"C:\매매전략\gui_precheck.py","9710","242"
"C:\매매전략\indicator_generator.py","3326","81"
"C:\매매전략\license_manager.py","21464","585"
"C:\매매전략\license_tiers.py","6135","175"
"C:\매매전략\param_consistency_check.py","13488","330"
"C:\매매전략\paths.py","5656","149"
"C:\매매전략\run_dry_check.py","1494","45"
"C:\매매전략\smc_utils.py","11160","271"
"C:\매매전략\system_bloodflow_check.py","13700","329"
"C:\매매전략\system_doctor.py","12386","324"
"C:\매매전략\telegram_notifier.py","6832","176"
"C:\매매전략\test_imports_final.py","1291","36"
"C:\매매전략\test_locales.py","624","17"
"C:\매매전략\trading_safety.py","7377","213"
"C:\매매전략\user_guide.py","5922","152"
"C:\매매전략\verify_code.py","1043","37"
"C:\매매전략\core\auto_optimizer.py","4749","135"
"C:\매매전략\core\license_guard.py","20462","595"
"C:\매매전략\core\multi_sniper.py","35642","967"
"C:\매매전략\core\multi_trader.py","31491","840"
"C:\매매전략\core\optimizer.py","22665","545"
"C:\매매전략\core\strategy_core.py","39571","879"
"C:\매매전략\core\unified_bot.py","131976","2794"
"C:\매매전략\core\updater.py","8939","238"
"C:\매매전략\core\__init__.py","168","4"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qaxcontainer.py","1590","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qscintilla.py","1586","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qtcharts.py","1595","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qtprintsupport.py","1621","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qtquickwidgets.py","1595","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qtwebenginewidgets.py","1601","29"
"C:\매매전략\dist\TwinStar_Quantum\_internal\PyQt5\uic\widget-plugins\qtwebkit.py","2558","47"
"C:\매매전략\exchanges\base_exchange.py","9809","275"
"C:\매매전략\exchanges\binance_exchange.py","11616","298"
"C:\매매전략\exchanges\bingx_exchange.py","10606","291"
"C:\매매전략\exchanges\bitget_exchange.py","10621","290"
"C:\매매전략\exchanges\bithumb_exchange.py","11887","325"
"C:\매매전략\exchanges\bybit_exchange.py","19675","484"
"C:\매매전략\exchanges\ccxt_exchange.py","20974","542"
"C:\매매전략\exchanges\exchange_manager.py","14068","348"
"C:\매매전략\exchanges\lighter_exchange.py","11301","304"
"C:\매매전략\exchanges\okx_exchange.py","11574","314"
"C:\매매전략\exchanges\upbit_exchange.py","9083","241"
"C:\매매전략\exchanges\ws_handler.py","12209","305"
"C:\매매전략\exchanges\__init__.py","1692","52"
"C:\매매전략\GUI\backtest_result_widget.py","21015","559"
"C:\매매전략\GUI\backtest_widget.py","41811","1025"
"C:\매매전략\GUI\bot_status_widget.py","7951","201"
"C:\매매전략\GUI\cache_manager_widget.py","6546","172"
"C:\매매전략\GUI\candle_aggregator.py","6564","169"
"C:\매매전략\GUI\capital_management_widget.py","8363","202"
"C:\매매전략\GUI\capital_manager.py","3959","105"
"C:\매매전략\GUI\chart_items.py","7673","220"
"C:\매매전략\GUI\constants.py","6646","168"
"C:\매매전략\GUI\crypto_manager.py","8212","237"
"C:\매매전략\GUI\data_collector_widget.py","32374","810"
"C:\매매전략\GUI\data_download_widget.py","10411","270"
"C:\매매전략\GUI\data_loader.py","3793","119"
"C:\매매전략\GUI\data_manager.py","21628","547"
"C:\매매전략\GUI\debug_dashboard.py","931","24"
"C:\매매전략\GUI\debug_import_gui.py","731","20"
"C:\매매전략\GUI\developer_mode_widget.py","21848","527"
"C:\매매전략\GUI\enhanced_chart_widget.py","14993","398"
"C:\매매전략\GUI\exchange_selector_widget.py","9302","252"
"C:\매매전략\GUI\glossary_popup.py","8063","212"
"C:\매매전략\GUI\help_dialog.py","7895","226"
"C:\매매전략\GUI\help_popup.py","6698","174"
"C:\매매전략\GUI\help_widget.py","10270","281"
"C:\매매전략\GUI\history_widget.py","39940","985"
"C:\매매전략\GUI\i18n.py","8847","236"
"C:\매매전략\GUI\indicator_generator.py","4149","118"
"C:\매매전략\GUI\live_trading_manager.py","1575","49"
"C:\매매전략\GUI\login.py","14234","381"
"C:\매매전략\GUI\login_dialog.py","16830","458"
"C:\매매전략\GUI\multi_session_popup.py","9352","260"
"C:\매매전략\GUI\notification_manager.py","3271","94"
"C:\매매전략\GUI\notification_widget.py","12988","342"
"C:\매매전략\GUI\nowcast_widget.py","12256","314"
"C:\매매전략\GUI\onboarding_dialog.py","8697","246"
"C:\매매전략\GUI\optimization_widget.py","33947","869"
"C:\매매전략\GUI\payment_dialog.py","9603","255"
"C:\매매전략\GUI\pc_license_dialog.py","32073","814"
"C:\매매전략\GUI\position_widget.py","9716","278"
"C:\매매전략\GUI\register_dialog.py","5753","162"
"C:\매매전략\GUI\security.py","3727","110"
"C:\매매전략\GUI\settings_widget.py","30308","745"
